Title,Your Rating,Date Rated,Year,Genres,Directors,URL
Solo Leveling: On to the Next Target,1,2026-03-22,2025,"Animation, Action, Fantasy, Adventure",Shunsuke Nakashige,https://www.imdb.com/title/tt36298902
SparkShorts: Burrow,7,2021-07-09,2020,"Animation, Short, Comedy, Family, Drama, Fantasy, Sci-Fi",Madeline Sharafian,https://www.imdb.com/title/tt13167288
SparkShorts: Kitbull,7,2021-08-16,2019,"Animation, Short, Comedy, Family, Drama, Fantasy, Sci-Fi",Rosana Sullivan,https://www.imdb.com/title/tt9536832
SparkShorts: Smash and Grab,6,2021-08-16,2019,"Animation, Short, Comedy, Family, Drama, Fantasy, Sci-Fi",Brian Larsen,https://www.imdb.com/title/tt7103168
SparkShorts: Wind,6,2021-08-16,2019,"Animation, Short, Comedy, Family, Drama, Fantasy, Sci-Fi",Edwin Chang,https://www.imdb.com/title/tt9536850
SparkShorts: Purl,6,2021-08-16,2018,"Animation, Short, Comedy, Family, Drama, Fantasy, Sci-Fi",Kristen Lester,https://www.imdb.com/title/tt8980868
SparkShorts: Out,6,2021-08-16,2020,"Animation, Short, Comedy, Family, Drama, Fantasy, Sci-Fi",Steven Clay Hunter,https://www.imdb.com/title/tt12366826
SparkShorts: Loop,5,2021-08-16,2020,"Animation, Short, Comedy, Family, Drama, Fantasy, Sci-Fi",Erica Milsom,https://www.imdb.com/title/tt9536836
Splinter Cell: Deathwatch: Chaos Theory: Part 2,1,2025-10-29,2025,"Animation, Action, Sci-Fi, Adventure, Thriller","Guillaume Dousse,Félicien Colmet-Daage",https://www.imdb.com/title/tt14956206
Spy x Family: A World Where We Cannot Survive,1,2025-12-28,2025,"Animation, Action, Comedy, Thriller","Yukiko Imai,Asami Nakatani",https://www.imdb.com/title/tt38617654
Star Wars: Visions: Black,1,2025-11-19,2025,"Animation, Sci-Fi, Action, Adventure, Fantasy, Drama",Shin'ya Ôhira,https://www.imdb.com/title/tt36599417
Taboo: Episode #1.8,1,2022-12-04,2017,"Drama, Thriller, Mystery",Anders Engström,https://www.imdb.com/title/tt4700598
